Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,222.160004,222.369995,219.119995,221.440002,220.985901,14275800
2020-01-22,222.309998,222.750000,221.279999,221.320007,220.866150,12212800
2020-01-23,220.750000,221.490005,219.270004,219.759995,219.309326,11195000
2020-01-24,220.800003,221.779999,216.110001,217.940002,217.493073,11905800
2020-01-27,213.100006,216.059998,212.500000,214.869995,214.429352,13810700
2020-01-28,216.139999,218.740005,213.520004,217.789993,217.343369,13413800
2020-01-29,221.440002,224.199997,218.449997,223.229996,222.772217,33181300
2020-01-30,206.529999,211.429993,204.750000,209.529999,209.100311,48775500
2020-01-31,208.429993,208.690002,201.059998,201.910004,201.495941,31359900
2020-02-03,203.440002,205.139999,202.500000,204.190002,203.771271,15495600
2020-02-04,206.619995,210.600006,205.199997,209.830002,209.399704,19628900
2020-02-05,212.509995,212.729996,208.710007,210.110001,209.679138,12538200
2020-02-06,210.470001,211.190002,209.339996,210.850006,210.417603,10567500
2020-02-07,210.300003,212.820007,209.929993,212.330002,211.894562,12242500
2020-02-10,211.520004,213.800003,210.660004,213.059998,212.623077,11856400
2020-02-11,210.190002,210.860001,206.509995,207.190002,206.765106,25030800
2020-02-12,207.850006,211.220001,207.399994,210.759995,210.327774,13813700
2020-02-13,209.520004,214.330002,209.179993,213.139999,212.702911,15396600
2020-02-14,214.000000,214.929993,212.649994,214.179993,213.740768,10741700
2020-02-18,213.550003,217.979996,213.399994,217.800003,217.353348,15609200
2020-02-19,217.990005,218.320007,216.110001,217.490005,217.043991,12135100
2020-02-20,216.520004,218.770004,212.949997,214.580002,214.139954,13109200
2020-02-21,213.479996,214.240005,208.830002,210.179993,209.748978,14092300
2020-02-24,201.800003,203.649994,198.169998,200.720001,200.308380,23080100
2020-02-25,202.250000,203.500000,195.949997,196.770004,196.366486,21433500
2020-02-26,197.190002,201.210007,195.490005,197.199997,196.795593,16524500
2020-02-27,191.820007,195.880005,189.500000,189.750000,189.360886,21682600
